epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11108.5,1.40819,1.03948,0.92303,0.41279,0.30777,0.3073,0.17798,1.34591,1.00438,0.91051,0.0005941,0.0005941,0.0005941
43,11332,1.41269,1.03826,0.92365,0.40816,0.31609,0.30701,0.17741,1.34658,1.00469,0.91045,0.0005842,0.0005842,0.0005842
44,11553.5,1.40788,1.03159,0.92179,0.4196,0.31215,0.31055,0.17915,1.34718,1.00019,0.91216,0.0005743,0.0005743,0.0005743
45,11781,1.40935,1.03069,0.92447,0.42033,0.31055,0.30868,0.1788,1.34035,0.99686,0.90977,0.0005644,0.0005644,0.0005644
46,12009.2,1.4022,1.02454,0.92066,0.42113,0.3158,0.31115,0.17906,1.3467,0.99406,0.90888,0.0005545,0.0005545,0.0005545
47,12236.4,1.39627,1.02004,0.92016,0.41904,0.31464,0.31093,0.17935,1.34064,0.99548,0.90941,0.0005446,0.0005446,0.0005446
48,12448.1,1.39645,1.01839,0.92062,0.41946,0.31314,0.3096,0.17839,1.34068,0.99259,0.90889,0.0005347,0.0005347,0.0005347
49,12657.7,1.39711,1.02015,0.92059,0.4241,0.31174,0.31172,0.1795,1.33474,0.99389,0.90956,0.0005248,0.0005248,0.0005248
50,12869.3,1.39739,1.01575,0.9205,0.42513,0.3109,0.31037,0.17871,1.3392,0.99067,0.9074,0.0005149,0.0005149,0.0005149
51,13080.4,1.38784,1.01119,0.91931,0.42626,0.3179,0.31316,0.17995,1.33591,0.99101,0.90751,0.000505,0.000505,0.000505
52,13294.2,1.39225,1.01336,0.91898,0.42401,0.31315,0.31038,0.17793,1.33237,0.98626,0.90834,0.0004951,0.0004951,0.0004951
53,13505.2,1.38826,1.01065,0.91724,0.41782,0.32075,0.31496,0.18186,1.33111,0.98613,0.90774,0.0004852,0.0004852,0.0004852
54,13717.4,1.38434,1.00368,0.91913,0.42778,0.31505,0.31451,0.18253,1.33628,0.98147,0.90819,0.0004753,0.0004753,0.0004753
55,13925.4,1.38232,1.00421,0.91824,0.4221,0.32091,0.31752,0.18367,1.3322,0.9839,0.90721,0.0004654,0.0004654,0.0004654
56,14139.8,1.38149,0.99562,0.91701,0.4245,0.31958,0.31694,0.18343,1.33159,0.98319,0.90714,0.0004555,0.0004555,0.0004555
57,14352,1.38123,0.99667,0.91805,0.42625,0.32214,0.31804,0.1842,1.32635,0.984,0.90626,0.0004456,0.0004456,0.0004456
58,14564.5,1.37618,0.99441,0.91653,0.42572,0.32323,0.31909,0.18311,1.32949,0.98019,0.90744,0.0004357,0.0004357,0.0004357
59,14780.8,1.37434,0.98625,0.91543,0.41769,0.32355,0.31634,0.18287,1.33211,0.97744,0.90676,0.0004258,0.0004258,0.0004258
60,14993.3,1.37202,0.98998,0.91493,0.4267,0.3182,0.31641,0.18235,1.3251,0.97721,0.90573,0.0004159,0.0004159,0.0004159
61,15207.3,1.37641,0.98667,0.91572,0.41893,0.32166,0.31582,0.18241,1.32815,0.97728,0.90468,0.000406,0.000406,0.000406
62,15419.7,1.37135,0.98225,0.91344,0.42099,0.32264,0.3188,0.18418,1.32529,0.97456,0.90604,0.0003961,0.0003961,0.0003961
63,15632.5,1.36739,0.97941,0.91367,0.42971,0.32228,0.32046,0.18509,1.32135,0.97289,0.90503,0.0003862,0.0003862,0.0003862
64,15845.1,1.37242,0.9829,0.91409,0.4392,0.3202,0.32048,0.18594,1.32065,0.97143,0.90446,0.0003763,0.0003763,0.0003763
65,16069.6,1.36235,0.97192,0.91139,0.42781,0.3266,0.32173,0.1859,1.32483,0.97163,0.90534,0.0003664,0.0003664,0.0003664
66,16772.4,1.36186,0.97364,0.91092,0.43229,0.32273,0.32094,0.18623,1.32016,0.96807,0.90416,0.0003565,0.0003565,0.0003565
67,16961.7,1.35968,0.96959,0.91177,0.42594,0.32545,0.3202,0.18575,1.3218,0.97053,0.90482,0.0003466,0.0003466,0.0003466
68,17154.5,1.35921,0.9662,0.91089,0.43704,0.32314,0.32053,0.18502,1.31989,0.96981,0.90455,0.0003367,0.0003367,0.0003367
69,17349.8,1.35609,0.96604,0.91236,0.44023,0.32016,0.32263,0.18632,1.32044,0.96699,0.90395,0.0003268,0.0003268,0.0003268
70,17536,1.35587,0.9627,0.90962,0.43451,0.32077,0.32235,0.1871,1.31753,0.96673,0.9036,0.0003169,0.0003169,0.0003169
71,17724.6,1.35583,0.96302,0.91005,0.42879,0.32743,0.324,0.18844,1.3139,0.96673,0.90294,0.000307,0.000307,0.000307
72,17915.8,1.35271,0.9625,0.90993,0.43967,0.32407,0.32332,0.18789,1.31497,0.96598,0.90276,0.0002971,0.0002971,0.0002971
73,18412.7,1.34177,0.95407,0.90917,0.43232,0.32471,0.32222,0.18608,1.31564,0.96669,0.90365,0.0002872,0.0002872,0.0002872
74,18575.5,1.35438,0.95944,0.90809,0.43716,0.32597,0.32517,0.18777,1.31445,0.96415,0.9031,0.0002773,0.0002773,0.0002773
75,18769.3,1.35293,0.96015,0.90928,0.43693,0.32891,0.32626,0.1894,1.31422,0.96247,0.90351,0.0002674,0.0002674,0.0002674
76,18962.1,1.34622,0.95544,0.9098,0.43744,0.32442,0.32617,0.18971,1.3145,0.96341,0.90392,0.0002575,0.0002575,0.0002575
77,19153.9,1.3445,0.95176,0.90858,0.43743,0.32604,0.32647,0.18963,1.31737,0.96196,0.90435,0.0002476,0.0002476,0.0002476
78,19347.4,1.3466,0.95131,0.90738,0.43625,0.32825,0.32808,0.19111,1.31588,0.96072,0.90345,0.0002377,0.0002377,0.0002377
